Count,Status,Service,Message
"≈80K","info","outbound-contacts-api","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.contact.api.controller.ContactController -- getContactsCountByName -- Account Id: GZJLCF - Request to get the contacts count of: [wildcard]*[/wildcard] ContactList."
"≈70K","info","kafka","[[wildcard]yyyy-MM-dd HH:mm:ss,SSS[/wildcard]] INFO [UnifiedLog partition=[wildcard]*[/wildcard], dir=/srv/kafka] Incremented log start offset to [wildcard][550521-1319135350][/wildcard] due to leader offset increment (kafka.log.UnifiedLog)"
"≈60K","info","ix-virtual-load-tester","[Random DispositionCode '[wildcard][00103-00116][/wildcard]' selected for interaction-id: [wildcard]*[/wildcard],for agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard]]"
"≈60K","info","ix-virtual-load-tester","[Received [wildcard]*[/wildcard] ###BYE###, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel [wildcard]*[/wildcard], interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈60K","info","kafka","[[wildcard]yyyy-MM-dd HH:mm:ss,SSS[/wildcard]] INFO [UnifiedLog partition=[wildcard]*[/wildcard], dir=/srv/kafka] Incremented log start offset to [wildcard][1930552-1319173824][/wildcard] due to client delete records request (kafka.log.UnifiedLog)"
"≈60K","info","vrc-metrics-service","methodName:updateAgent - Update Agent - Message received: UpdateAgentMessage(adminAgentEntry=AdminAgent(id=[wildcard]*[/wildcard], tenantId=[wildcard]*[/wildcard], attributes=Attributes(attributeList=[channel.[wildcard]*[/wildcard][wildcard]*[/wildcard]]), channels=[[wildcard]*[/wildcard][wildcard]*[/wildcard]], previousChannels=[[wildcard]*[/wildcard]]))"
"≈60K","error","outbound-contacts-api","at reactor.core.publisher.[wildcard]*[/wildcard]$[wildcard]*[/wildcard].[wildcard]*[/wildcard]([wildcard]*[/wildcard].java:[wildcard][70-2215][/wildcard])"
"≈50K","info","vrc-metrics-service","methodName:processSubscribedService - commandId:[wildcard]*[/wildcard] - Agent map is empty, no further processing"
"≈50K","ok","tomcat","[wildcard]10.201.64.XXX[/wildcard] - - [[wildcard]dd/MMM/yyyy:HH:mm:ss xx[/wildcard]] ""POST /axis2/services/OAMService HTTP/1.1"" 200 [wildcard][308-727][/wildcard]"
"≈50K","info","vrc-metrics-service","methodName:processCahcedAgents - Check for agentId [wildcard]*[/wildcard] in admin cache returned: null"
"≈40K","info","customer-journey-etl","Identifiers Cache - Finished poll request of administered identifiers. (identifiersTraceId=[wildcard]*[/wildcard])"
"≈40K","info","outbound-campaigns-actors","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.campaign.actors.connector.CPaaSSimulatorConnector -- sendSMS -- SMS status from CPaaS connector: queued. Disposition code received: Sent_To_Provider and platform session id: [wildcard]*[/wildcard]"
"≈40K","info","customer-journey-etl","Identifiers Cache - Starting polling cycle for administered identifier updates... (identifiersTraceId=[wildcard]*[/wildcard])"
"≈40K","info","journey-service","WidgetSettings cache updater - starting run... (runNumber='[wildcard][49-181409][/wildcard]', successfulRuns=[wildcard][48-181408][/wildcard], failedRuns= 0, cacheManager='org.springframework.cache.concurrent.ConcurrentMapCacheManager@[wildcard]*[/wildcard]')"
"≈40K","info","outbound-contacts-api","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.contact.api.controller.ContactListInternalController -- getStatusForContactList -- Status for contact list id: [wildcard]*[/wildcard] [wildcard]*[/wildcard] fetched successfully for accountId: GZJLCF"
"≈40K","info","customer-journey-etl","Identifiers Cache - Starting poll request of administered identifiers. (from=[wildcard]yyyy-MM-ddTHH:mm:ss.SSSSSSSSSXXX[/wildcard], to=[wildcard]yyyy-MM-ddTHH:mm:ss.SSSSSSSSSXXX[/wildcard], identifiersTraceId=[wildcard]*[/wildcard])"
"≈40K","info","vrc-metrics-aggregator-service","processSpan#1, operationName=[wildcard]*[/wildcard]"
"≈30K","info","ix-virtual-load-tester","[Replying with EMAIL; clearInteraction: false, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel EMAIL, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈30K","info","journey-service","Search returned: [wildcard][0-1583][/wildcard] hits"
"≈30K","info","vrc-metrics-service","methodName:updateAgent - Agent [wildcard]*[/wildcard] entry is missing from agentMap, can't update an agent with no previous state, adding new agent to agentMap: AgentEntry(id=[wildcard]*[/wildcard], tenantId=[wildcard]*[/wildcard], attributes=Attributes(attributeList=[channel.[wildcard]*[/wildcard][wildcard]*[/wildcard]]), activeServiceSet=[], channels=[[wildcard]*[/wildcard]], previousChannels=[], channelToStateMap={[wildcard]*[/wildcard]=LOGGED_OUT}, channelToAuxStateMap={[wildcard]*[/wildcard]=AUX_STATE_READY}, writeCounter=0, readCounter=0, taskId=0)"
"≈30K","info","ix-dsk-connector","consumeRecords, Notifying message listeners of [[wildcard]*[/wildcard]] event, topic: [[wildcard]*[/wildcard]], offset:[[wildcard][198-471120][/wildcard]], key: [[wildcard]*[/wildcard][wildcard]*[/wildcard]], value: [wildcard]*[/wildcard]"
"≈30K","info","ix-virtual-load-tester","[Received EMAIL, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel EMAIL, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈30K","info","analytics-itd-consolidator","MetricsByQueueEventHandlerImpl.sendEvent(): Consolidated event with key '[wildcard]*[/wildcard]' has been sent to topic 'analytics.itd.queuebychannel.consolidated' with timestamp '[wildcard][1710136800000-1710139500000][/wildcard]'"
"≈30K","info","vrc-metrics-aggregator-service","getQueueMetrics, [MXWZHQ|[wildcard]*[/wildcard]|[wildcard]*[/wildcard]|] read QueueMetric:QueueMetric{accountId='MXWZHQ', queueId='[wildcard]*[/wildcard]', channelId='[wildcard]*[/wildcard]', attributes=null, isUpdated=true, engagementCountersByPriority={}, agentCounters=AgentCounters{resourceStaffedCount={0a498445-887e-4f00-b8c7-adaa69e12423=0[wildcard]*[/wildcard]}, resourceBusyCount={0a498445-887e-4f00-b8c7-adaa69e12423=0[wildcard]*[/wildcard]}, resourceReadyCount={0a498445-887e-4f00-b8c7-adaa69e12423=0[wildcard]*[/wildcard]}, queueOccupancy={0a498445-887e-4f00-b8c7-adaa69e12423=0[wildcard]*[/wildcard]}}, lastUpdatedTimestamp=0}, timeTaken=[[wildcard][0-5][/wildcard]]ms"
"≈30K","info","media-store","Event received on topic: account.avro, key: [wildcard]*[/wildcard], Headers: RecordHeaders(headers = [RecordHeader(key = avaya_kafka_writeOperation, value = [[wildcard][67-85][/wildcard], [wildcard][80-82][/wildcard], [wildcard][68-69][/wildcard], 65, 84, 69, 68]), RecordHeader(key = x-datadog-trace-id, value = [[wildcard][49-56][/wildcard], [wildcard][49-56][/wildcard], [wildcard]*[/wildcard][wildcard][48-49][/wildcard]])], isReadOnly = false)"
"≈30K","info","ix-dsk-request-service","Unsubscribing from gRPC stream for [wildcard]*[/wildcard]"
"≈30K","info","vrc-rona-service","consumeRecords, Notifying message listeners of [ReasonCode] event, topic: [[wildcard]*[/wildcard]], offset:[[wildcard][12-1789][/wildcard]], key: [[wildcard]*[/wildcard]], value: {""codeName"": ""[wildcard]*[/wildcard][wildcard]*[/wildcard]"", ""codeType"": ""NOT_READY"", ""codeNumber"": ""[wildcard][001-107][/wildcard]"", ""codeId"": ""[wildcard]*[/wildcard]"", ""description"": ""[wildcard]*[/wildcard]"", ""systemDefined"": [wildcard]*[/wildcard], ""systemUse"": [wildcard]*[/wildcard], ""accountId"": ""[wildcard]*[/wildcard]"", ""timestamp"": ""[wildcard]yyyy-MM-ddTHH:mm:ss.SSSXXX[/wildcard]""}"
"≈30K","info","ix-dsk-request-service","Resubscribing gRPC stream for [wildcard]*[/wildcard]"
"≈30K","info","vrc-metrics-aggregator-service","processSpan#2, operationName=MetricsProcessor taskId==[[wildcard]*[/wildcard]], topic=[staging-metrics-by-queue], processing [QueueAgentMetrics] Event, key=[[wildcard]*[/wildcard]], value=[{""accountId"": ""MXWZHQ"", ""queueId"": ""[wildcard]*[/wildcard]"", ""channelId"": ""[wildcard]*[/wildcard]"", ""attributeKey"": null, ""agentStaffedCount"": ""0"", ""agentBusyCount"": ""0"", ""agentReadyCount"": ""0"", ""agentInAuxCount"": ""0"", ""queueOccupancy"": ""0"", ""instanceId"": ""[wildcard]*[/wildcard]"", ""id"": ""[wildcard]*[/wildcard]"", ""timestamp"": [wildcard][1709843056482-1710137829177][/wildcard]}]"
"≈30K","info","outbound-contacts-api","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.contact.api.controller.ContactController -- getContactsCount -- Account Id: [wildcard]*[/wildcard] - Contacts count of contact list id: [wildcard]*[/wildcard] fetched successfully."
"≈30K","info","vrc-metrics-service","methodName:updateAgent - oldAgentState:null newAgentState:AgentEntry(id=[wildcard]*[/wildcard], tenantId=[wildcard]*[/wildcard], attributes=Attributes(attributeList=[channel.[wildcard]*[/wildcard][wildcard]*[/wildcard]]), activeServiceSet=[], channels=[[wildcard]*[/wildcard]], previousChannels=[], channelToStateMap={[wildcard]*[/wildcard]=LOGGED_OUT}, channelToAuxStateMap={[wildcard]*[/wildcard]=AUX_STATE_READY}, writeCounter=0, readCounter=0, taskId=0)"
"≈30K","info","ix-virtual-load-tester","[Email reply sent, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel EMAIL, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈30K","info","vrc-metrics-aggregator-service","publish publishing Metrics for topic: metrics-by-queue and queueId: [wildcard]*[/wildcard] metrics: {""accountId"": ""MXWZHQ"", ""queueId"": ""[wildcard]*[/wildcard]"", ""channelId"": ""[wildcard]*[/wildcard]"", ""attributeKey"": null, ""metrics"": [{""metricName"": ""rollingASA"", ""metricValue"": ""[wildcard][0.000000-10.666667][/wildcard]""}, {""metricName"": ""oldestEngagementWaiting"", ""metricValue"": ""0""}, {""metricName"": ""agentStaffedCount"", ""metricValue"": ""0""}, {""metricName"": ""queueOccupancy"", ""metricValue"": ""0""}, {""metricName"": ""processingEngagementCount"", ""metricValue"": ""0""}, {""metricName"": ""completedEngagementCount"", ""metricValue"": ""[wildcard][0-15][/wildcard]""}, {""metricName"": ""oldestSpecializedEngagementWaitingTimestamp"", ""metricValue"": ""0""}, {""metricName"": ""waitingEngagementCount"", ""metricValue"": ""0""}, {""metricName"": ""agentBusyCount"", ""metricValue"": ""0""}, {""metricName"": ""processingSpecializedEngagementCount"", ""metricValue"": ""0""}, {""metricName"": ""oldestSpecializedEngagementWaiting"", ""metricValue"": ""0""}, {""metricName"": ""oldestEngagementWaitingTimestamp"", ""metricValue"": ""0""}, {""metricName"": ""expectedWaitTime"", ""metricValue"": ""999999""}, {""metricName"": ""completedSpecializedEngagementCount"", ""metricValue"": ""[wildcard][0-15][/wildcard]""}, {""metricName"": ""waitingSpecializedEngagementCount"", ""metricValue"": ""0""}, {""metricName"": ""agentReadyCount"", ""metricValue"": ""0""}], ""id"": ""[wildcard]*[/wildcard]"", ""timestamp"": [wildcard][1710137049099-1710140411153][/wildcard]}"
"≈30K","info","cbs-adapter","setupRestTemplate() : SSL [wildcard]*[/wildcard] [wildcard]*[/wildcard]"
"≈30K","info","journey-service","WidgetSettings cache updated ([wildcard][3-289][/wildcard]) configs. (runNumber='[wildcard][8-119053][/wildcard]')"
"≈30K","info","analytics-passthrough-proc","sendMeasureOutput(): Output has been sent for measure '[wildcard]*[/wildcard]' with key '[wildcard]*[/wildcard]' to topic 'analytics.dm.[wildcard]*[/wildcard].[wildcard]*[/wildcard]' and headers[RecordHeaders(headers = [RecordHeader(key = unique_id, value = [[wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][52-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][49-102][/wildcard], 45, [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], 45, 52, [wildcard][50-102][/wildcard], [wildcard][48-100][/wildcard], [wildcard][48-102][/wildcard], 45, [wildcard][56-98][/wildcard], [wildcard][48-102][/wildcard], [wildcard][49-101][/wildcard], [wildcard][48-102][/wildcard], 45, [wildcard][48-101][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-101][/wildcard], [wildcard][48-101][/wildcard], [wildcard][48-102][/wildcard]]), RecordHeader(key = account_id, value = [[wildcard][65-87][/wildcard], [wildcard][69-89][/wildcard], [wildcard][67-90][/wildcard], [wildcard][69-90][/wildcard], [wildcard][65-89][/wildcard], [wildcard][66-90][/wildcard]]), RecordHeader(key = x-datadog-trace-id, value = [[wildcard][49-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][49-57][/wildcard], [wildcard][48-56][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][49-57][/wildcard], [wildcard][48-56][/wildcard], [wildcard][48-56][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-56][/wildcard], [wildcard][48-57][/wildcard], [wildcard][49-57][/wildcard]]), RecordHeader(key = x-datadog-parent-id, value = [[wildcard][49-56][/wildcard], [wildcard][49-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-57][/wildcard], [wildcard][48-56][/wildcard]]), RecordHeader(key = x-datadog-sampling-priority, value = [[wildcard][48-49][/wildcard]]), RecordHeader(key = x-datadog-tags, value = [95, 100, 100, 46, 112, 46, 100, 109, 61, 45, 49]), RecordHeader(key = [wildcard]*[/wildcard], value = [[wildcard][48-101][/wildcard], [wildcard][48-101][/wildcard], [wildcard][49-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-101][/wildcard], [wildcard][49-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][48-100][/wildcard], 45, [wildcard][48-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][48-100][/wildcard], 45, 52, [wildcard][49-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-101][/wildcard], 45, [wildcard][56-98][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], 45, [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][48-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][50-102][/wildcard], [wildcard][48-101][/wildcard], [wildcard][49-101][/wildcard], [wildcard][48-102][/wildcard], [wildcard][49-102][/wildcard], [wildcard][49-102][/wildcard]])], isReadOnly = false)]"
"≈30K","info","ix-dsk-request-service","Subscribing to gRPC stream for [wildcard]*[/wildcard]"
"≈20K","info","ix-virtual-load-tester","[ANSWER Email, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel EMAIL, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈20K","info","analytics-ingestion","NormalizerTopicConsumer.processRecords: Adding [wildcard][1-500][/wildcard] messages to feed"
"≈20K","info","outbound-contacts-actors","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.azure.cosmos.implementation.batch.BulkExecutor -- Closing all sinks, Context: [wildcard]*[/wildcard][n/a]"
"≈20K","info","outbound-contacts-api","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.contact.api.controller.[wildcard]*[/wildcard] -- [wildcard]*[/wildcard] -- [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard]: [wildcard]*[/wildcard] for accountId: GZJLCF"
"≈20K","info","journey-service","WidgetSettings cache updater - finishing run... (runNumber='[wildcard][2-344263][/wildcard]', successfulRuns=[wildcard][2-344263][/wildcard], failedRuns= 0, cachedElementsSize='[wildcard][3-289][/wildcard]')"
"≈20K","info","vrc-agent-service","messageReceived, received reason code {""codeName"": ""[wildcard]*[/wildcard][wildcard]*[/wildcard]"", ""codeType"": ""[wildcard]*[/wildcard]"", ""codeNumber"": ""[wildcard][00101-00113][/wildcard]"", ""codeId"": ""[wildcard]*[/wildcard]"", ""description"": ""[wildcard]*[/wildcard] [wildcard]*[/wildcard][wildcard]*[/wildcard]"", ""systemDefined"": [wildcard]*[/wildcard], ""systemUse"": [wildcard]*[/wildcard], ""accountId"": ""[wildcard]*[/wildcard]"", ""timestamp"": ""[wildcard]yyyy-MM-ddTHH:mm:ss.SSSXXX[/wildcard]""}, with system use [wildcard]*[/wildcard]"
"≈20K","info","ix-virtual-load-tester","[UC3 websocket: Received call established, agent:[wildcard]*[/wildcard]@voice5008.ac, state READY]"
"≈20K","info","ix-virtual-load-tester","[UC3 websocket: call ended. Reason: null, agent:[wildcard]*[/wildcard]@voice5008.ac, state READY]"
"≈20K","info","media-store","AccountService :: Creating new account: [wildcard]*[/wildcard], with Id: [wildcard]*[/wildcard]"
"≈20K","info","vrc-metrics-aggregator-service","running publish publishing Metrics for queue: MXWZHQ|[wildcard]*[/wildcard]|[wildcard]*[/wildcard]| metrics: {rollingASA=[wildcard][0.0-1.0][/wildcard], oldestEngagementWaiting=0, agentStaffedCount=0, queueOccupancy=0, processingEngagementCount=0, completedEngagementCount=[wildcard][0-8][/wildcard], oldestSpecializedEngagementWaitingTimestamp=0, waitingEngagementCount=0, agentBusyCount=0, processingSpecializedEngagementCount=0, oldestSpecializedEngagementWaiting=0, oldestEngagementWaitingTimestamp=0, expectedWaitTime=999999, completedSpecializedEngagementCount=[wildcard][0-8][/wildcard], waitingSpecializedEngagementCount=0, agentReadyCount=0}"
"≈20K","info","outbound-contacts-api","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.contact.api.controller.ContactController -- getContactsCount -- Account Id: [wildcard]*[/wildcard] - Request to get the contacts count of a contact list id: [wildcard]*[/wildcard]."
"≈20K","info","kafka","[[wildcard]yyyy-MM-dd HH:mm:ss,SSS[/wildcard]] INFO Authentication successful for avnadmin (io.aiven.kafka.auth.AivenSaslPlainServerCallbackHandler)"
